CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/1,0,1309,1002,0,358,10,,,,,,,,
2011/1/1,300,1309,1002,0,321,13,,,,,,,,
2011/1/1,600,1309,1002,0,344,16,,,,,,,,
2011/1/1,900,1309,1002,0,329,8,,,,,,,,
2011/1/1,1200,1309,1002,0,351,24,,,,,,,,
2011/1/1,1500,1309,1002,0,359,35,,,,,,,,
2011/1/1,1800,1309,1002,0,357,36,,,,,,,,
2011/1/1,2100,1309,1002,0,343,36,,,,,,,,
2011/1/1,2400,1309,1002,0,367,28,,,,,,,,
2011/1/1,2700,1309,1002,0,368,34,,,,,,,,
2011/1/1,3000,1309,1002,0,369,41,,,,,,,,
2011/1/1,3300,1309,1002,0,357,32,,,,,,,,
2011/1/1,3600,1309,1002,0,366,49,,,,,,,,
2011/1/1,3900,1309,1002,0,357,44,,,,,,,,
2011/1/1,4200,1309,1002,0,382,45,,,,,,,,
2011/1/1,4500,1309,1002,0,360,46,,,,,,,,
2011/1/1,4800,1309,1002,0,363,45,,,,,,,,
2011/1/1,5100,1309,1002,0,371,51,,,,,,,,
2011/1/1,5400,1309,1002,0,370,55,,,,,,,,
2011/1/1,5700,1309,1002,0,367,38,,,,,,,,
2011/1/1,6000,1309,1002,0,367,31,,,,,,,,
2011/1/1,6300,1309,1002,0,380,29,,,,,,,,
2011/1/1,6600,1309,1002,0,365,42,,,,,,,,
2011/1/1,6900,1309,1002,0,380,38,,,,,,,,
2011/1/1,7200,1309,1002,0,354,43,,,,,,,,
2011/1/1,7500,1309,1002,0,347,26,,,,,,,,
2011/1/1,7800,1309,1002,0,357,35,,,,,,,,
2011/1/1,8100,1309,1002,0,372,27,,,,,,,,
2011/1/1,8400,1309,1002,0,368,35,,,,,,,,
2011/1/1,8700,1309,1002,0,361,29,,,,,,,,
2011/1/1,9000,1309,1002,0,337,28,,,,,,,,
2011/1/1,9300,1309,1002,0,407,36,,,,,,,,
2011/1/1,9600,1309,1002,0,385,28,,,,,,,,
2011/1/1,9900,1309,1002,0,349,24,,,,,,,,
2011/1/1,10200,1309,1002,0,366,39,,,,,,,,
2011/1/1,10500,1309,1002,0,348,33,,,,,,,,
2011/1/1,10800,1309,1002,0,346,25,,,,,,,,
2011/1/1,11100,1309,1002,0,347,34,,,,,,,,
2011/1/1,11400,1309,1002,0,318,28,,,,,,,,
2011/1/1,11700,1309,1002,0,348,30,,,,,,,,
2011/1/1,12000,1309,1002,0,346,44,,,,,,,,
2011/1/1,12300,1309,1002,0,344,29,,,,,,,,
2011/1/1,12600,1309,1002,0,343,26,,,,,,,,
2011/1/1,12900,1309,1002,0,316,28,,,,,,,,
2011/1/1,13200,1309,1002,0,339,27,,,,,,,,
2011/1/1,13500,1309,1002,0,333,32,,,,,,,,
2011/1/1,13800,1309,1002,0,319,35,,,,,,,,
2011/1/1,14100,1309,1002,0,332,15,,,,,,,,
2011/1/1,14400,1309,1002,0,311,26,,,,,,,,
2011/1/1,14700,1309,1002,0,337,28,,,,,,,,
2011/1/1,15000,1309,1002,0,324,24,,,,,,,,
2011/1/1,15300,1309,1002,0,342,33,,,,,,,,
2011/1/1,15600,1309,1002,0,354,28,,,,,,,,
2011/1/1,15900,1309,1002,0,329,22,,,,,,,,
2011/1/1,16200,1309,1002,0,346,25,,,,,,,,
2011/1/1,16500,1309,1002,0,353,21,,,,,,,,
2011/1/1,16800,1309,1002,0,359,24,,,,,,,,
2011/1/1,17100,1309,1002,0,334,19,,,,,,,,
2011/1/1,17400,1309,1002,0,349,22,,,,,,,,
2011/1/1,17700,1309,1002,0,336,23,,,,,,,,
2011/1/1,18000,1309,1002,0,335,14,,,,,,,,
2011/1/1,18300,1309,1002,0,326,11,,,,,,,,
2011/1/1,18600,1309,1002,0,366,18,,,,,,,,
2011/1/1,18900,1309,1002,0,357,28,,,,,,,,
2011/1/1,19200,1309,1002,0,337,13,,,,,,,,
2011/1/1,19500,1309,1002,0,321,17,,,,,,,,
2011/1/1,19800,1309,1002,0,325,21,,,,,,,,
2011/1/1,20100,1309,1002,0,293,10,,,,,,,,
2011/1/1,20400,1309,1002,0,284,11,,,,,,,,
2011/1/1,20700,1309,1002,0,312,9,,,,,,,,
2011/1/1,21000,1309,1002,0,315,17,,,,,,,,
2011/1/1,21300,1309,1002,0,340,18,,,,,,,,
2011/1/1,21600,1309,1002,0,350,15,,,,,,,,
2011/1/1,21900,1309,1002,0,329,12,,,,,,,,
2011/1/1,22200,1309,1002,0,357,8,,,,,,,,
2011/1/1,22500,1309,1002,0,339,14,,,,,,,,
2011/1/1,22800,1309,1002,0,325,11,,,,,,,,
2011/1/1,23100,1309,1002,0,322,15,,,,,,,,
2011/1/1,23400,1309,1002,0,312,22,,,,,,,,
2011/1/1,23700,1309,1002,0,317,9,,,,,,,,
2011/1/1,24000,1309,1002,0,334,13,,,,,,,,
2011/1/1,24300,1309,1002,0,307,9,,,,,,,,
2011/1/1,24600,1309,1002,0,339,15,,,,,,,,
2011/1/1,24900,1309,1002,0,327,13,,,,,,,,
2011/1/1,25200,1309,1002,0,324,12,,,,,,,,
2011/1/1,25500,1309,1002,0,333,11,,,,,,,,
2011/1/1,25800,1309,1002,0,314,16,,,,,,,,
2011/1/1,26100,1309,1002,0,344,12,,,,,,,,
2011/1/1,26400,1309,1002,0,345,13,,,,,,,,
2011/1/1,26700,1309,1002,0,339,11,,,,,,,,
2011/1/1,27000,1309,1002,0,294,7,,,,,,,,
2011/1/1,27300,1309,1002,0,290,12,,,,,,,,
2011/1/1,27600,1309,1002,0,289,14,,,,,,,,
2011/1/1,27900,1309,1002,0,317,15,,,,,,,,
2011/1/1,28200,1309,1002,0,319,9,,,,,,,,
2011/1/1,28500,1309,1002,0,325,14,,,,,,,,
2011/1/1,28800,1309,1002,0,318,22,,,,,,,,
2011/1/1,29100,1309,1002,0,306,12,,,,,,,,
2011/1/1,29400,1309,1002,0,325,11,,,,,,,,
2011/1/1,29700,1309,1002,0,309,14,,,,,,,,
2011/1/1,30000,1309,1002,0,293,10,,,,,,,,
2011/1/1,30300,1309,1002,0,319,10,,,,,,,,
2011/1/1,30600,1309,1002,0,323,8,,,,,,,,
2011/1/1,30900,1309,1002,0,283,9,,,,,,,,
2011/1/1,31200,1309,1002,0,309,10,,,,,,,,
2011/1/1,31500,1309,1002,0,324,8,,,,,,,,
2011/1/1,31800,1309,1002,0,346,15,,,,,,,,
2011/1/1,32100,1309,1002,0,358,8,,,,,,,,
2011/1/1,32400,1309,1002,0,380,9,,,,,,,,
2011/1/1,32700,1309,1002,0,329,6,,,,,,,,
2011/1/1,33000,1309,1002,0,352,10,,,,,,,,
2011/1/1,33300,1309,1002,0,338,8,,,,,,,,
2011/1/1,33600,1309,1002,0,342,9,,,,,,,,
2011/1/1,33900,1309,1002,0,326,11,,,,,,,,
2011/1/1,34200,1309,1002,0,347,12,,,,,,,,
2011/1/1,34500,1309,1002,0,383,9,,,,,,,,
2011/1/1,34800,1309,1002,0,362,3,,,,,,,,
2011/1/1,35100,1309,1002,0,325,13,,,,,,,,
2011/1/1,35400,1309,1002,0,373,17,,,,,,,,
2011/1/1,35700,1309,1002,0,357,15,,,,,,,,
2011/1/1,36000,1309,1002,0,322,17,,,,,,,,
2011/1/1,36300,1309,1002,0,336,10,,,,,,,,
2011/1/1,36600,1309,1002,0,321,22,,,,,,,,
2011/1/1,36900,1309,1002,0,326,29,,,,,,,,
2011/1/1,37200,1309,1002,0,310,17,,,,,,,,
2011/1/1,37500,1309,1002,0,322,29,,,,,,,,
2011/1/1,37800,1309,1002,0,304,20,,,,,,,,
2011/1/1,38100,1309,1002,0,310,18,,,,,,,,
2011/1/1,38400,1309,1002,0,332,13,,,,,,,,
2011/1/1,38700,1309,1002,0,369,17,,,,,,,,
2011/1/1,39000,1309,1002,0,364,18,,,,,,,,
2011/1/1,39300,1309,1002,0,358,23,,,,,,,,
2011/1/1,39600,1309,1002,0,306,18,,,,,,,,
2011/1/1,39900,1309,1002,0,347,28,,,,,,,,
2011/1/1,40200,1309,1002,0,340,29,,,,,,,,
2011/1/1,40500,1309,1002,0,341,19,,,,,,,,
2011/1/1,40800,1309,1002,0,324,29,,,,,,,,
2011/1/1,41100,1309,1002,0,364,32,,,,,,,,
2011/1/1,41400,1309,1002,0,348,27,,,,,,,,
2011/1/1,41700,1309,1002,0,332,30,,,,,,,,
2011/1/1,42000,1309,1002,0,326,22,,,,,,,,
2011/1/1,42300,1309,1002,0,356,21,,,,,,,,
2011/1/1,42600,1309,1002,0,351,29,,,,,,,,
2011/1/1,42900,1309,1002,0,350,34,,,,,,,,
2011/1/1,43200,1309,1002,0,369,24,,,,,,,,
2011/1/1,43500,1309,1002,0,330,43,,,,,,,,
2011/1/1,43800,1309,1002,0,340,29,,,,,,,,
2011/1/1,44100,1309,1002,0,346,31,,,,,,,,
2011/1/1,44400,1309,1002,0,347,40,,,,,,,,
2011/1/1,44700,1309,1002,0,353,38,,,,,,,,
2011/1/1,45000,1309,1002,0,346,39,,,,,,,,
2011/1/1,45300,1309,1002,0,346,41,,,,,,,,
2011/1/1,45600,1309,1002,0,372,39,,,,,,,,
2011/1/1,45900,1309,1002,0,356,28,,,,,,,,
2011/1/1,46200,1309,1002,0,358,33,,,,,,,,
2011/1/1,46500,1309,1002,0,347,35,,,,,,,,
2011/1/1,46800,1309,1002,0,374,35,,,,,,,,
2011/1/1,47100,1309,1002,0,371,34,,,,,,,,
2011/1/1,47400,1309,1002,0,343,32,,,,,,,,
2011/1/1,47700,1309,1002,0,367,29,,,,,,,,
2011/1/1,48000,1309,1002,0,358,29,,,,,,,,
2011/1/1,48300,1309,1002,0,348,28,,,,,,,,
2011/1/1,48600,1309,1002,0,349,26,,,,,,,,
2011/1/1,48900,1309,1002,0,348,32,,,,,,,,
2011/1/1,49200,1309,1002,0,367,31,,,,,,,,
2011/1/1,49500,1309,1002,0,364,17,,,,,,,,
2011/1/1,49800,1309,1002,0,341,26,,,,,,,,
2011/1/1,50100,1309,1002,0,346,31,,,,,,,,
2011/1/1,50400,1309,1002,0,354,32,,,,,,,,
2011/1/1,50700,1309,1002,0,360,39,,,,,,,,
2011/1/1,51000,1309,1002,0,371,51,,,,,,,,
2011/1/1,51300,1309,1002,0,334,44,,,,,,,,
2011/1/1,51600,1309,1002,0,358,39,,,,,,,,
2011/1/1,51900,1309,1002,0,354,39,,,,,,,,
2011/1/1,52200,1309,1002,0,359,37,,,,,,,,
2011/1/1,52500,1309,1002,0,348,41,,,,,,,,
2011/1/1,52800,1309,1002,0,393,34,,,,,,,,
2011/1/1,53100,1309,1002,0,366,31,,,,,,,,
2011/1/1,53400,1309,1002,0,373,39,,,,,,,,
2011/1/1,53700,1309,1002,0,387,44,,,,,,,,
2011/1/1,54000,1309,1002,0,394,44,,,,,,,,
2011/1/1,54300,1309,1002,0,398,52,,,,,,,,
2011/1/1,54600,1309,1002,0,391,40,,,,,,,,
2011/1/1,54900,1309,1002,0,392,40,,,,,,,,
2011/1/1,55200,1309,1002,0,417,32,,,,,,,,
2011/1/1,55500,1309,1002,0,407,52,,,,,,,,
2011/1/1,55800,1309,1002,0,401,44,,,,,,,,
2011/1/1,56100,1309,1002,0,422,36,,,,,,,,
2011/1/1,56400,1309,1002,0,410,50,,,,,,,,
2011/1/1,56700,1309,1002,0,405,46,,,,,,,,
2011/1/1,57000,1309,1002,0,408,43,,,,,,,,
2011/1/1,57300,1309,1002,0,407,50,,,,,,,,
